Date,City,Type,Count
9/19/2019,Lahore,PM 2.5,159
9/20/2019,Lahore,PM 2.5,133
9/21/2019,Lahore,PM 2.5,128
9/22/2019,Lahore,PM 2.5,183
9/23/2019,Lahore,PM 2.5,155
9/24/2019,Lahore,PM 2.5,130
9/25/2019,Lahore,PM 2.5,133
9/26/2019,Lahore,PM 2.5,150
9/27/2019,Lahore,PM 2.5,161
9/28/2019,Lahore,PM 2.5,156
9/29/2019,Lahore,PM 2.5,116
9/30/2019,Lahore,PM 2.5,93
10/1/2019,Lahore,PM 2.5,183
10/2/2019,Lahore,PM 2.5,142
10/3/2019,Lahore,PM 2.5,162
10/4/2019,Lahore,PM 2.5,163
10/5/2019,Lahore,PM 2.5,185
10/6/2019,Lahore,PM 2.5,-
10/7/2019,Lahore,PM 2.5,-
10/8/2019,Lahore,PM 2.5,144
10/9/2019,Lahore,PM 2.5,155
10/10/2019,Lahore,PM 2.5,185
10/11/2019,Lahore,PM 2.5,184
10/12/2019,Lahore,PM 2.5,224
10/13/2019,Lahore,PM 2.5,192
10/14/2019,Lahore,PM 2.5,200
10/15/2019,Lahore,PM 2.5,200
10/16/2019,Lahore,PM 2.5,188
10/17/2019,Lahore,PM 2.5,223
10/18/2019,Lahore,PM 2.5,246
10/19/2019,Lahore,PM 2.5,156
10/20/2019,Lahore,PM 2.5,163
10/21/2019,Lahore,PM 2.5,165
10/22/2019,Lahore,PM 2.5,187
10/23/2019,Lahore,PM 2.5,193
10/24/2019,Lahore,PM 2.5,213
10/25/2019,Lahore,PM 2.5,237
10/26/2019,Lahore,PM 2.5,253
10/27/2019,Lahore,PM 2.5,294
10/28/2019,Lahore,PM 2.5,265
10/29/2019,Lahore,PM 2.5,297
10/30/2019,Lahore,PM 2.5,315
10/31/2019,Lahore,PM 2.5,374
11/1/2019,Lahore,PM 2.5,338
11/2/2019,Lahore,PM 2.5,402
11/3/2019,Lahore,PM 2.5,288
11/4/2019,Lahore,PM 2.5,255
11/5/2019,Lahore,PM 2.5,248
11/6/2019,Lahore,PM 2.5,204
11/7/2019,Lahore,PM 2.5,266
11/8/2019,Lahore,PM 2.5,136
11/9/2019,Lahore,PM 2.5,165
11/10/2019,Lahore,PM 2.5,200
11/11/2019,Lahore,PM 2.5,182
11/12/2019,Lahore,PM 2.5,207
11/13/2019,Lahore,PM 2.5,272
11/14/2019,Lahore,PM 2.5,370
11/15/2019,Lahore,PM 2.5,369
11/16/2019,Lahore,PM 2.5,286
11/17/2019,Lahore,PM 2.5,259
11/18/2019,Lahore,PM 2.5,188
11/19/2019,Lahore,PM 2.5,214
11/20/2019,Lahore,PM 2.5,299
11/21/2019,Lahore,PM 2.5,310
11/22/2019,Lahore,PM 2.5,451
11/23/2019,Lahore,PM 2.5,319
11/24/2019,Lahore,PM 2.5,181
11/25/2019,Lahore,PM 2.5,186
11/26/2019,Lahore,PM 2.5,236
11/27/2019,Lahore,PM 2.5,333
11/28/2019,Lahore,PM 2.5,186
11/29/2019,Lahore,PM 2.5,227
11/30/2019,Lahore,PM 2.5,221
12/1/2019,Lahore,PM 2.5,200
12/2/2019,Lahore,PM 2.5,254
12/3/2019,Lahore,PM 2.5,273
12/4/2019,Lahore,PM 2.5,276
12/5/2019,Lahore,PM 2.5,324
12/6/2019,Lahore,PM 2.5,333
12/7/2019,Lahore,PM 2.5,370
12/8/2019,Lahore,PM 2.5,317
12/9/2019,Lahore,PM 2.5,369
12/10/2019,Lahore,PM 2.5,337
12/11/2019,Lahore,PM 2.5,478
12/12/2019,Lahore,PM 2.5,380
12/13/2019,Lahore,PM 2.5,281
12/14/2019,Lahore,PM 2.5,171
12/15/2019,Lahore,PM 2.5,224
12/16/2019,Lahore,PM 2.5,192
12/17/2019,Lahore,PM 2.5,189
12/18/2019,Lahore,PM 2.5,260
12/19/2019,Lahore,PM 2.5,294
12/20/2019,Lahore,PM 2.5,236
12/21/2019,Lahore,PM 2.5,417
12/22/2019,Lahore,PM 2.5,305
12/23/2019,Lahore,PM 2.5,276
12/24/2019,Lahore,PM 2.5,313
12/25/2019,Lahore,PM 2.5,280
12/26/2019,Lahore,PM 2.5,282
12/27/2019,Lahore,PM 2.5,296
12/28/2019,Lahore,PM 2.5,315
12/29/2019,Lahore,PM 2.5,330
12/30/2019,Lahore,PM 2.5,312
12/31/2019,Lahore,PM 2.5,-
1/1/2020,Lahore,PM 2.5,-
1/2/2020,Lahore,PM 2.5,355
1/3/2020,Lahore,PM 2.5,375
1/4/2020,Lahore,PM 2.5,311
1/5/2020,Lahore,PM 2.5,370
1/6/2020,Lahore,PM 2.5,246
1/7/2020,Lahore,PM 2.5,189
1/8/2020,Lahore,PM 2.5,238
1/9/2020,Lahore,PM 2.5,199
1/10/2020,Lahore,PM 2.5,199
1/11/2020,Lahore,PM 2.5,216
1/12/2020,Lahore,PM 2.5,225
1/13/2020,Lahore,PM 2.5,206
1/14/2020,Lahore,PM 2.5,164
1/15/2020,Lahore,PM 2.5,183
1/16/2020,Lahore,PM 2.5,205
1/17/2020,Lahore,PM 2.5,250
1/18/2020,Lahore,PM 2.5,334
1/19/2020,Lahore,PM 2.5,337
1/20/2020,Lahore,PM 2.5,327
1/21/2020,Lahore,PM 2.5,224
1/22/2020,Lahore,PM 2.5,173
1/23/2020,Lahore,PM 2.5,173
1/24/2020,Lahore,PM 2.5,187
1/25/2020,Lahore,PM 2.5,202
1/26/2020,Lahore,PM 2.5,237
1/27/2020,Lahore,PM 2.5,291
1/28/2020,Lahore,PM 2.5,278
1/29/2020,Lahore,PM 2.5,205
1/30/2020,Lahore,PM 2.5,183
1/31/2020,Lahore,PM 2.5,226
2/1/2020,Lahore,PM 2.5,113
2/2/2020,Lahore,PM 2.5,34
2/3/2020,Lahore,PM 2.5,33
2/4/2020,Lahore,PM 2.5,33
2/5/2020,Lahore,PM 2.5,38
2/6/2020,Lahore,PM 2.5,33
2/7/2020,Lahore,PM 2.5,33
2/8/2020,Lahore,PM 2.5,33
2/9/2020,Lahore,PM 2.5,34
2/10/2020,Lahore,PM 2.5,31
2/11/2020,Lahore,PM 2.5,34
2/12/2020,Lahore,PM 2.5,116
2/13/2020,Lahore,PM 2.5,186
2/14/2020,Lahore,PM 2.5,181
2/15/2020,Lahore,PM 2.5,138
2/16/2020,Lahore,PM 2.5,158
2/17/2020,Lahore,PM 2.5,180
2/18/2020,Lahore,PM 2.5,203
2/19/2020,Lahore,PM 2.5,199
2/20/2020,Lahore,PM 2.5,185
2/21/2020,Lahore,PM 2.5,173
2/22/2020,Lahore,PM 2.5,110
2/23/2020,Lahore,PM 2.5,200
2/24/2020,Lahore,PM 2.5,194
2/25/2020,Lahore,PM 2.5,224
2/26/2020,Lahore,PM 2.5,209
2/27/2020,Lahore,PM 2.5,222
2/28/2020,Lahore,PM 2.5,195
2/29/2020,Lahore,PM 2.5,198
3/1/2020,Lahore,PM 2.5,111
3/2/2020,Lahore,PM 2.5,164
3/3/2020,Lahore,PM 2.5,171
3/4/2020,Lahore,PM 2.5,161
3/5/2020,Lahore,PM 2.5,228
3/6/2020,Lahore,PM 2.5,111
3/7/2020,Lahore,PM 2.5,89
3/8/2020,Lahore,PM 2.5,73
3/9/2020,Lahore,PM 2.5,119
